;A;B;C;D;E;R
1;0.342738988;0.291075228;0.821244171;0.790425617;0.510370149;1
2;0.393021302;0.431804299;0.881888536;0.545250973;0.694148931;2
3;0.670687333;0.932677944;0.415510626;0.920736483;0.776585526;2
4;0.927754174;0.805196051;0.410177095;0.51853065;0.847924088;2
5;0.750046535;0.29192047;0.936709845;0.361149481;0.04312887;1
6;0.96498166;0.804840245;0.264305795;0.238583851;0.086497005;0
7;0.084610785;0.267754438;0.417825416;0.403142909;0.527775688;2
8;0.059354859;0.068892764;0.406240449;0.961262021;0.930769552;1
9;0.924531652;0.464768071;0.917347414;0.357005491;0.438899233;1
10;0.308857187;0.337586513;0.078873025;0.074276793;0.853161131;1
11;0.500104312;0.871210654;0.220264986;0.831377225;0.530238871;1
12;0.965481458;0.378047563;0.602169582;0.131482225;0.007235514;2
13;0.809457649;0.9042795;0.083558377;0.7125461;0.502630784;1
14;0.344613457;0.549036819;0.891632374;0.923364199;0.635285021;1
15;0.022428341;0.836512862;0.39798218;0.839998794;0.714387197;1
16;0.029589765;0.161455443;0.709492433;0.777574781;0.026934624;1
17;0.875986926;0.041869493;0.806128744;0.63030919;0.779550504;2
18;0.459711935;0.321558579;0.879099914;0.349024059;0.837767114;1
19;0.078214516;0.222174676;0.293546688;0.996487463;0.491348415;1
20;0.440347082;0.993045554;0.921157656;0.966918031;0.48189314;0
21;0.549994532;0.07067328;0.938923599;0.172565274;0.792461341;1
22;0.39381835;0.844382571;0.109328651;0.39341078;0.029062541;1
23;0.528141899;0.339184533;0.419724223;0.359617154;0.652903037;2
24;0.252759907;0.379925727;0.026679067;0.193481205;0.265943633;2
25;0.807912132;0.943867958;0.027389424;0.127446704;0.4477461;0
26;0.886697109;0.520495883;0.446646741;0.754657493;0.825855118;2
27;0.946117298;0.47053161;0.225253402;0.728861228;0.208417083;1
28;0.841806313;0.815481016;0.305200997;0.782994574;0.78969415;1
29;0.860056001;0.395284304;0.093752616;0.402859154;0.463373863;2
30;0.93985733;0.290845467;0.0739744;0.021628064;0.901596465;1
31;0.327285845;0.69703167;0.188743667;0.163796061;0.970715114;1
32;0.647670703;0.513572163;0.914676567;0.560145088;0.692909682;2
33;0.686647011;0.939372935;0.184200845;0.306533083;0.953707177;1
34;0.384160817;0.143990548;0.466306518;0.385617699;0.597999774;2
35;0.176311413;0.588569703;0.621956347;0.868836408;0.946070545;2
36;0.502589638;0.256938103;0.345737199;0.097632171;0.850752054;1
37;0.133271215;0.411947653;0.993040709;0.114717285;0.598392046;2
38;0.857913413;0.898959364;0.827174598;0.064501787;0.595948673;0
39;0.063024699;0.811536216;0.645343422;0.628257125;0.569649104;2
40;0.979157763;0.207442603;0.610668688;0.496408591;0.82851686;2
41;0.4791397;0.127052743;0.307343475;0.409283245;0.43653087;1
42;0.379861281;0.823702617;0.429889929;0.847129256;0.283610983;1
43;0.404147437;0.66138459;0.705205986;0.985355478;0.144330969;1
44;0.158746994;0.266780144;0.850566719;0.172929289;0.893837601;1
45;0.662639203;0.9510406;0.830890389;0.276042851;0.667563785;1
46;0.588292729;0.943171175;0.24064896;0.347647355;0.620562912;1
47;0.35351535;0.380328051;0.710012165;0.76259592;0.770756988;2
48;0.082100126;0.469766902;0.089080224;0.972593365;0.426917618;1
49;0.220499087;0.793879158;0.853096512;0.124634761;0.629405131;1
50;0.794825583;0.407519618;0.892043672;0.260908746;0.293400794;2
51;0.199136906;0.336444466;0.204476498;0.357322102;0.345577222;2
52;0.057655297;0.607128729;0.041107155;0.310263235;0.815754826;1
53;0.941432991;0.027798659;0.114542269;0.256485954;0.870798904;1
54;0.992209055;0.330636516;0.597614874;0.641941365;0.336870019;2
55;0.774573411;0.103034317;0.845647635;0.207259662;0.578683617;1
56;0.484563227;0.593657852;0.925752405;0.048327844;0.923918101;1
57;0.399697912;0.769331349;0.159462078;0.941454439;0.33068474;1
58;0.962923472;0.50024362;0.783113843;0.060229462;0.932096542;1
59;0.091542333;0.021128134;0.812261217;0.637133523;0.429293528;1
60;0.243909403;0.415812854;0.101686181;0.22715463;0.514336409;2
61;0.304322282;0.120849277;0.932292399;0.998490664;0.09806768;1
62;0.961463854;0.208439179;0.049199105;0.848529008;0.032823445;1
63;0.945020875;0.287076225;0.119749136;0.869860413;0.955940972;1
